group_name,discipline_code_suggested,discipline_title,source_sheets,check_ok,review_comment
ГГ-17-2,BP-006,Безопасность ведения горных работ и горноспасательное дело,2021-2022,,
ГГ-18-1,BP-002,Аэрология горных предприятий,2021-2022,,
ГГ-18-1,BP-006,Безопасность ведения горных работ и горноспасательное дело,2022-2023 весна,,
ГГ-18-1,BP-007,Безопасность жизнедеятельности,2021-2022,,
ГГ-18-1,BP-026,Теплотехника,2021-2022,,
ГГ-18-2,BP-002,Аэрология горных предприятий,2021-2022,,
ГГ-18-2,BP-006,Безопасность ведения горных работ и горноспасательное дело,2022-2023 весна,,
ГГ-18-2,BP-007,Безопасность жизнедеятельности,2021-2022,,
ГГ-18-2,BP-026,Теплотехника,2021-2022,,
ГГ-19-1,BP-002,Аэрология горных предприятий,2022-2023 весна,,
ГГ-19-1,BP-007,Безопасность жизнедеятельности,2022-2023 весна,,
ГГ-19-2,BP-002,Аэрология горных предприятий,2022-2023 весна,,
ГГ-19-2,BP-007,Безопасность жизнедеятельности,2022-2023 весна,,
ГГ-20-1,BP-002,Аэрология горных предприятий,2023-2024 уч.год,,
ГГ-20-1,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ГГ-20-2,BP-002,Аэрология горных предприятий,2023-2024 уч.год,,
ГГ-20-2,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ГГ-21-1,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ГГ-21-2,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ГК-18-1,BP-007,Безопасность жизнедеятельности,2021-2022,,
ГК-18-2,BP-007,Безопасность жизнедеятельности,2021-2022,,
ГК-19-1,BP-007,Безопасность жизнедеятельности,2022-2023 весна,,
ГК-19-2,BP-007,Безопасность жизнедеятельности,2022-2023 весна,,
ГМ-17,BP-007,Безопасность жизнедеятельности,2021-2022,,
ГМ-18,BP-002,Аэрология горных предприятий,2021-2022,,
ГМ-18,BP-007,Безопасность жизнедеятельности,2022-2023 весна,,
ГМ-19,BP-002,Аэрология горных предприятий,2022-2023 весна,,
ГМ-21,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ГНГ-18-1,BP-007,Безопасность жизнедеятельности,2021-2022,,
ГНГ-18-2,BP-007,Безопасность жизнедеятельности,2021-2022,,
ГНГ-19-1,BP-007,Безопасность жизнедеятельности,2022-2023 весна,,
ГНГ-19-2,BP-007,Безопасность жизнедеятельности,2022-2023 весна,,
ГРП-19,BP-007,Безопасность жизнедеятельности,2021-2022,,
ГРП-21,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ГС-17-1,BP-002,Аэрология горных предприятий,2021-2022,,
ГС-17-1,BP-006,Безопасность ведения горных работ и горноспасательное дело,2021-2022,,
ГС-17-2,BP-002,Аэрология горных предприятий,2021-2022,,
ГС-17-2,BP-006,Безопасность ведения горных работ и горноспасательное дело,2021-2022,,
ГС-18-1,BP-002,Аэрология горных предприятий,2021-2022,,
ГС-18-1,BP-006,Безопасность ведения горных работ и горноспасательное дело,2022-2023 весна,,
ГС-18-1,BP-007,Безопасность жизнедеятельности,2021-2022,,
ГС-18-2,BP-002,Аэрология горных предприятий,2021-2022,,
ГС-18-2,BP-006,Безопасность ведения горных работ и горноспасательное дело,2022-2023 весна,,
ГС-18-2,BP-007,Безопасность жизнедеятельности,2021-2022,,
ГС-19-1,BP-002,Аэрология горных предприятий,2022-2023 весна,,
ГС-19-1,BP-007,Безопасность жизнедеятельности,2022-2023 весна,,
ГС-19-2,BP-002,Аэрология горных предприятий,2022-2023 весна,,
ГС-19-2,BP-007,Безопасность жизнедеятельности,2022-2023 весна,,
ГС-20-1,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ГС-20-2,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ГС-21-1,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ГС-21-2,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ГТС-17,BP-002,Аэрология горных предприятий,2021-2022,,
ГТС-17,BP-006,Безопасность ведения горных работ и горноспасательное дело,2021-2022,,
ГТС-18,BP-002,Аэрология горных предприятий,2022-2023 весна,,
ГТС-18,BP-007,Безопасность жизнедеятельности,2021-2022,,
ГТС-19,BP-002,Аэрология горных предприятий,2023-2024 уч.год,,
ГТС-19,BP-006,Безопасность ведения горных работ и горноспасательное дело,2023-2024 уч.год,,
ГТС-19,BP-007,Безопасность жизнедеятельности,2022-2023 весна,,
ГТС-20,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ДГ-18,BP-007,Безопасность жизнедеятельности,2021-2022,,
ДГ-20,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ИАС-19,BP-007,Безопасность жизнедеятельности,2021-2022,,
ИАС-21-1,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ИАС-21-2,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ИЗБ-18,BP-007,Безопасность жизнедеятельности,2021-2022,,
ИЗБ-19,BP-008,Гидравлика и теплотехника,2021-2022,,
ИЗБ-20-1,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
