training_center_number,room_number,room_name,laboratory_studlab_id,laboratory_name,faculty_code,faculty_title,department_hint,purpose,source_url,notes
3,550,Лаборатория общей геологии,10,Учебная лаборатория кафедры исторической и динамической геологии,ГРФ,Геологоразведочный факультет,исторической и динамической геологии,"просмотр и макроскопическое определение образцов минералов, горных пород и руд; работа с геологическими картами и разрезами.",https://studlab.spmi.ru/10,draft from studlab
1,4303,"Учебная лаборатория минералогии, кристаллографии и петрографии",7,"Учебная лаборатория кафедры минералогии, кристаллографии и петрографии",ГРФ,Геологоразведочный факультет,"минералогии, кристаллографии и петрографии",обучение методам микроскопической диагностики минералов и горных пород.,https://studlab.spmi.ru/7,draft from studlab
1,4305,"Учебная лаборатория минералогии, кристаллографии и петрографии",7,"Учебная лаборатория кафедры минералогии, кристаллографии и петрографии",ГРФ,Геологоразведочный факультет,"минералогии, кристаллографии и петрографии",обучение методам микроскопической диагностики минералов и горных пород.,https://studlab.spmi.ru/7,draft from studlab
1,4307,"Учебная лаборатория минералогии, кристаллографии и петрографии",7,"Учебная лаборатория кафедры минералогии, кристаллографии и петрографии",ГРФ,Геологоразведочный факультет,"минералогии, кристаллографии и петрографии",обучение методам микроскопической диагностики минералов и горных пород.,https://studlab.spmi.ru/7,draft from studlab
1,4309,Специализированная аудитория для лабораторно-практических занятий,7,"Учебная лаборатория кафедры минералогии, кристаллографии и петрографии",ГРФ,Геологоразведочный факультет,"минералогии, кристаллографии и петрографии",обучение методам визуальной диагностики минералов и горных пород.,https://studlab.spmi.ru/7,draft from studlab
1,4311,Специализированная аудитория для лабораторно-практических занятий,7,"Учебная лаборатория кафедры минералогии, кристаллографии и петрографии",ГРФ,Геологоразведочный факультет,"минералогии, кристаллографии и петрографии",обучение методам визуальной диагностики минералов и горных пород.,https://studlab.spmi.ru/7,draft from studlab
1,4313,Специализированная аудитория для лабораторно-практических занятий,7,"Учебная лаборатория кафедры минералогии, кристаллографии и петрографии",ГРФ,Геологоразведочный факультет,"минералогии, кристаллографии и петрографии",обучение методам визуальной диагностики минералов и горных пород.,https://studlab.spmi.ru/7,draft from studlab
1,4315,Специализированная аудитория для лабораторно-практических занятий,7,"Учебная лаборатория кафедры минералогии, кристаллографии и петрографии",ГРФ,Геологоразведочный факультет,"минералогии, кристаллографии и петрографии",обучение методам визуальной диагностики минералов и горных пород.,https://studlab.spmi.ru/7,draft from studlab
1,4601,"Учебная лаборатория ""Природных резервуаров и петрофизических свойств пород""",9,"Учебная лаборатория ""Природных резервуаров и петрофизических свойств пород"" кафедры геологии нефти и газа",ГРФ,Геологоразведочный факультет,геологии нефти и газа,"обеспечение условий работы с керновым материалом для его последующего описания и оценки коллекторского потенциала; установление связи теории и практики на основе экспериментальных исследований в области изучения различных свойств образцов керна: фильтрационно-емкостных, акустических, электрических.",https://studlab.spmi.ru/9,draft from studlab
1,4609,"Учебная лаборатория ""Разведочной геофизики""",8,"Учебная лаборатория ""Разведочной геофизики"" кафедры геофизики",ГРФ,Геологоразведочный факультет,геофизики,изучение современных геофизических аппаратурных комплексов исследования скважин; изучение методик поисков и разведки месторождений полезных ископаемых с использованием различных геофизических методов; выполнение петрофизических исследований образцов горных пород.,https://studlab.spmi.ru/8,draft from studlab
1,4507,Учебная лаборатория рудной микроскопии,6,Учебная лаборатория кафедры геологии и разведки месторождений полезных ископаемых,ГРФ,Геологоразведочный факультет,геологии и разведки месторождений полезных ископаемых,обучение минераграфическим методам исследования; изучение образцов руд под микроскопом.,https://studlab.spmi.ru/6,draft from studlab
1,4510,Специализированная аудитория для лабораторно-практических занятий,6,Учебная лаборатория кафедры геологии и разведки месторождений полезных ископаемых,ГРФ,Геологоразведочный факультет,геологии и разведки месторождений полезных ископаемых,работа с коллекцией образцов месторождений неметаллических полезных ископаемых.,https://studlab.spmi.ru/6,draft from studlab
1,4512,Специализированная аудитория для лабораторно-практических занятий,6,Учебная лаборатория кафедры геологии и разведки месторождений полезных ископаемых,ГРФ,Геологоразведочный факультет,геологии и разведки месторождений полезных ископаемых,"хранение коллекций образцов металлических, неметаллических и горючих полезных ископаемых и геологической графики; работа с каменным материалом, привезенным студентами с производственных практик.",https://studlab.spmi.ru/6,draft from studlab
1,4514,Специализированная аудитория для лабораторно-практических занятий,6,Учебная лаборатория кафедры геологии и разведки месторождений полезных ископаемых,ГРФ,Геологоразведочный факультет,геологии и разведки месторождений полезных ископаемых,работа с коллекцией образцов месторождений металлических полезных ископаемых.,https://studlab.spmi.ru/6,draft from studlab
3,549,Специализированная аудитория для лабораторно-практических занятий,6,Учебная лаборатория кафедры геологии и разведки месторождений полезных ископаемых,ГРФ,Геологоразведочный факультет,геологии и разведки месторождений полезных ископаемых,работа с коллекцией образцов минералов и горных пород; работа с геологической графикой.,https://studlab.spmi.ru/6,draft from studlab
1,3201,Учебная лаборатория водных свойств горных пород,5,Учебная лаборатория кафедры гидрогеологии и инженерной геологии,ГРФ,Геологоразведочный факультет,гидрогеологии и инженерной геологии,освоение приборов и оборудования для определения физических и водных свойств горных пород и методов определения химического состава воды.,https://studlab.spmi.ru/5,draft from studlab
